2022-03-22 16:44:13 install libtirpc3:amd64 <none> 1.3.1-1
2022-03-22 16:44:13 status half-installed libtirpc3:amd64 1.3.1-1
2022-03-22 16:44:13 status unpacked libtirpc3:amd64 1.3.1-1
2022-03-22 16:44:13 install libunistring2:amd64 <none> 0.9.10-4
2022-03-22 16:44:13 status half-installed libunistring2:amd64 0.9.10-4
2022-03-22 16:44:14 status unpacked libunistring2:amd64 0.9.10-4
2022-03-22 16:44:14 install libcrypt1:amd64 <none> 1:4.4.18-4
2022-03-22 16:44:14 status half-installed libcrypt1:amd64 1:4.4.18-4
2022-03-22 16:44:14 status unpacked libcrypt1:amd64 1:4.4.18-4
2022-03-22 16:44:14 install libzstd1:amd64 <none> 1.4.8+dfsg-2.1
2022-03-22 16:44:14 status half-installed libzstd1:amd64 1.4.8+dfsg-2.1
2022-03-22 16:44:14 status unpacked libzstd1:amd64 1.4.8+dfsg-2.1
2022-03-22 16:44:14 install lsb-base:all <none> 11.1.0
2022-03-22 16:44:14 status half-installed lsb-base:all 11.1.0
2022-03-22 16:44:14 status unpacked lsb-base:all 11.1.0
2022-03-22 16:44:14 install liblz4-1:amd64 <none> 1.9.3-2
2022-03-22 16:44:14 status half-installed liblz4-1:amd64 1.9.3-2
2022-03-22 16:44:14 status unpacked liblz4-1:amd64 1.9.3-2
2022-03-22 16:44:14 upgrade mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2022-03-22 16:44:14 status half-configured mawk:amd64 1.3.4.20200120-2
2022-03-22 16:44:14 status unpacked mawk:amd64 1.3.4.20200120-2
2022-03-22 16:44:14 status half-installed mawk:amd64 1.3.4.20200120-2
2022-03-22 16:44:14 status unpacked mawk:amd64 1.3.4.20200120-2
2022-03-22 16:44:14 install libtinfo6:amd64 <none> 6.2+20201114-2
2022-03-22 16:44:14 status half-installed libtinfo6:amd64 6.2+20201114-2
2022-03-22 16:44:14 status unpacked libtinfo6:amd64 6.2+20201114-2
2022-03-22 16:44:14 install ncurses-base:all <none> 6.2+20201114-2
2022-03-22 16:44:14 status half-installed ncurses-base:all 6.2+20201114-2
2022-03-22 16:44:14 status unpacked ncurses-base:all 6.2+20201114-2
2022-03-22 16:44:14 install ncurses-bin:amd64 <none> 6.2+20201114-2
2022-03-22 16:44:14 status half-installed ncurses-bin:amd64 6.2+20201114-2
2022-03-22 16:44:14 status unpacked ncurses-bin:amd64 6.2+20201114-2
2022-03-22 16:44:14 install libhogweed6:amd64 <none> 3.7.3-1
2022-03-22 16:44:14 status half-installed libhogweed6:amd64 3.7.3-1
2022-03-22 16:44:14 status unpacked libhogweed6:amd64 3.7.3-1
2022-03-22 16:44:14 install libnettle8:amd64 <none> 3.7.3-1
2022-03-22 16:44:14 status half-installed libnettle8:amd64 3.7.3-1
2022-03-22 16:44:14 status unpacked libnettle8:amd64 3.7.3-1
2022-03-22 16:44:14 install libssl1.1:amd64 <none> 1.1.1k-1+deb11u1
2022-03-22 16:44:14 status half-installed libssl1.1:amd64 1.1.1k-1+deb11u1
2022-03-22 16:44:15 status unpacked libssl1.1:amd64 1.1.1k-1+deb11u1
2022-03-22 16:44:15 install libp11-kit0:amd64 <none> 0.23.22-1
2022-03-22 16:44:15 status half-installed libp11-kit0:amd64 0.23.22-1
2022-03-22 16:44:15 status unpacked libp11-kit0:amd64 0.23.22-1
2022-03-22 16:44:15 install libpam-modules:amd64 <none> 1.4.0-9+deb11u1
2022-03-22 16:44:15 status half-installed libpam-modules:amd64 1.4.0-9+deb11u1
2022-03-22 16:44:15 status unpacked libpam-modules:amd64 1.4.0-9+deb11u1
2022-03-22 16:44:15 install libpam-modules-bin:amd64 <none> 1.4.0-9+deb11u1
2022-03-22 16:44:15 status half-installed libpam-modules-bin:amd64 1.4.0-9+deb11u1
2022-03-22 16:44:15 status unpacked libpam-modules-bin:amd64 1.4.0-9+deb11u1
2022-03-22 16:44:15 install libpam-runtime:all <none> 1.4.0-9+deb11u1
2022-03-22 16:44:15 status half-installed libpam-runtime:all 1.4.0-9+deb11u1
2022-03-22 16:44:15 status unpacked libpam-runtime:all 1.4.0-9+deb11u1
2022-03-22 16:44:15 install libpam0g:amd64 <none> 1.4.0-9+deb11u1
2022-03-22 16:44:15 status half-installed libpam0g:amd64 1.4.0-9+deb11u1
2022-03-22 16:44:15 status unpacked libpam0g:amd64 1.4.0-9+deb11u1
2022-03-22 16:44:15 install libpcre2-8-0:amd64 <none> 10.36-2
2022-03-22 16:44:15 status half-installed libpcre2-8-0:amd64 10.36-2
2022-03-22 16:44:15 status unpacked libpcre2-8-0:amd64 10.36-2
2022-03-22 16:44:15 install libpcre3:amd64 <none> 2:8.39-13
2022-03-22 16:44:15 status half-installed libpcre3:amd64 2:8.39-13
2022-03-22 16:44:15 status unpacked libpcre3:amd64 2:8.39-13
2022-03-22 16:44:15 upgrade perl-base:amd64 5.32.1-4+deb11u2 5.32.1-4+deb11u2
2022-03-22 16:44:15 status half-configured perl-base:amd64 5.32.1-4+deb11u2
2022-03-22 16:44:15 status unpacked perl-base:amd64 5.32.1-4+deb11u2
2022-03-22 16:44:15 status half-installed perl-base:amd64 5.32.1-4+deb11u2
2022-03-22 16:44:16 status unpacked perl-base:amd64 5.32.1-4+deb11u2
2022-03-22 16:44:16 install sed:amd64 <none> 4.7-1
2022-03-22 16:44:16 status half-installed sed:amd64 4.7-1
2022-03-22 16:44:16 status unpacked sed:amd64 4.7-1
2022-03-22 16:44:16 install login:amd64 <none> 1:4.8.1-1
2022-03-22 16:44:16 status half-installed login:amd64 1:4.8.1-1
2022-03-22 16:44:16 status unpacked login:amd64 1:4.8.1-1
2022-03-22 16:44:16 install passwd:amd64 <none> 1:4.8.1-1
2022-03-22 16:44:16 status half-installed passwd:amd64 1:4.8.1-1
2022-03-22 16:44:16 status unpacked passwd:amd64 1:4.8.1-1
2022-03-22 16:44:16 install libsystemd0:amd64 <none> 247.3-6
2022-03-22 16:44:16 status half-installed libsystemd0:amd64 247.3-6
2022-03-22 16:44:16 status unpacked libsystemd0:amd64 247.3-6
2022-03-22 16:44:16 install libudev1:amd64 <none> 247.3-6
2022-03-22 16:44:16 status half-installed libudev1:amd64 247.3-6
2022-03-22 16:44:16 status unpacked libudev1:amd64 247.3-6
2022-03-22 16:44:16 install sysvinit-utils:amd64 <none> 2.96-7
2022-03-22 16:44:16 status half-installed sysvinit-utils:amd64 2.96-7
2022-03-22 16:44:16 status unpacked sysvinit-utils:amd64 2.96-7
2022-03-22 16:44:16 install tar:amd64 <none> 1.34+dfsg-1
2022-03-22 16:44:16 status half-installed tar:amd64 1.34+dfsg-1
2022-03-22 16:44:16 status unpacked tar:amd64 1.34+dfsg-1
2022-03-22 16:44:17 install tzdata:all <none> 2021a-1+deb11u2
2022-03-22 16:44:17 status half-installed tzdata:all 2021a-1+deb11u2
2022-03-22 16:44:17 status unpacked tzdata:all 2021a-1+deb11u2
2022-03-22 16:44:17 install bsdutils:amd64 <none> 1:2.36.1-8
2022-03-22 16:44:17 status half-installed bsdutils:amd64 1:2.36.1-8
2022-03-22 16:44:17 status unpacked bsdutils:amd64 1:2.36.1-8
2022-03-22 16:44:17 install libblkid1:amd64 <none> 2.36.1-8
2022-03-22 16:44:17 status half-installed libblkid1:amd64 2.36.1-8
2022-03-22 16:44:17 status unpacked libblkid1:amd64 2.36.1-8
